pdf_file,page,text
RJmarwari.pdf,1,२३  का ५ कु ु ६ का ५ ॥३० जी  ॥ भ्त या त््न्त्त     ॥ आस ४ धर ब्  वि न ० जन लक ह औ   आई ॥ ैर जज अ ं ंथ  ३६  रा  पा ० है  ६७ शा७०स ध््श  जन अ्ड लि  अध्यूनटटपट हा ७३६ का प    बा भय    का न्ा  णकेटटा ह्ल्लार की दल शक रेड  के ४ है डर के   के न ननमा  ४०  की ४  हि  है     जश हे   था ५५ अ   की    शाप रे हे राजस्थानी भासा अर साहित्य रो इतिहास
RJmarwari.pdf,2,वर्धभमान महावीर खुला विश्वविद्यालय कोटा राजस्थानी भासा अर साहित्य रो इतिहास
RJmarwari.pdf,3,पाठ्यक्रम निर्माण समिति अध्यक्ष प्रोफेसर डॉ नरेश दाधीच कुलपति वर्धमान महावीर खुला विश्वविद्यालय कोटा संयोजक समन्वयक एवं सदस्य संयोजक समन्वयक  प्रो डॉ कल्याणसिंह शेखावत डॉ मीता शर्मा परामर्शदाता राजस्थानी कार्यक्रम सहायक आचार्य हिन्दी वर्धमान महावीर खुला विश्वविद्याल कोटा वर्धमान महावीर खुला विश्वविद्यालय कोटा सदस्य  डॉ हीरालाल माहेश्वरी  श्री रघुराजसिंह हाडा पूर्व अध्यक्ष हिन्दी विभाग पूर्व प्रधानाचार्य उच्च माध्यमिक विद्यालय राजस्थान सरकार राजस्थान विश्वविद्यालय जयपुर झालावाड़ राजस्थान  प्रो डॉ अर्जुनदेव चारण  डॉ गोरधनसिंह शेखावत अध्यक्ष राजस्थानी विभाग निदेशक श्री कृष्ण सत्संग बालिका महाविद्यालय जय नारायण व्यास विश्वविद्यालय जोधपुर सीकर राजस्थान सम्पादन एवं पाठ्यक्रमलेखन सम्पादक  प्रो डॉ कल्याणसिंह शेखावत परामर्शदाता राजस्थानी कार्यक्रम वर्धमान महावीर खुला विश्वविद्यालय कोटा लेखक इकाई लेखक इकाई  सतपाल जॉगिड     डॉ उषा कंवर राठौड़  शोधार्थी राजस्थानी विभाग राजस्थानी शोध संस्थान जय नारायण व्यास विश्वविद्यालय चौपासनी जोधपुर राज जोधपुर राज  अतुल कनक है।  डॉ रणजीत सिंह राठौड़  कविसाहित्यकार कोटा राज राजस्थानी विभाग जय नारायण व्यास विश्वविद्यालय जोधपुर अकादमिक एवं प्रशासनिक व्यवस्था प्रो डॉ विनय पाठक प्रो डॉ बी के शर्मा डॉ याकूब अली खान प्रो पी के शर्मा कुलपति निदेशक अकादमिक निदेकशक भाषा निदेशक वर्धमान महावीर खुला विश्वविद्यालय कोटा संकाय विभाग संकाय विभाग पाठ्य सामग्री उत्पादन एवं वितरण विभाग पाठ्यक्रम उत्पादन योगेन्द्र गोयल सहायक उत्पादन अधिकारी वर्धमान महावीर खुला विश्वविद्यालय कोटा उत्पादन  ७ ७ सर्वाधिकार सुरक्षित  इस सामग्री के किसी भी अंश की वर्धमान महावीर खुला विश्वविद्यालय कोटा की लिखित अनुमति के बिना किसी भी रूप में मिमियाग्राफी चक्रमुद्रण के द्वारा या अन्यथा पुन प्रस्तुत करने की अनुमति नहीं है। कुलसचिव वमखुविश्वविद्यालय कोटा द्वारा वर्धमान महावीर खुला विश्वविद्यालय कोटा के लिये मुद्रित एवं प्रकाशित ।
RJmarwari.pdf,4,र ७ वर्धभान महावीर खुला विश्वविद्यालय कोटा आप अनुक्रमणिका राजस्थानी भासा अर साहित्य रो इतिहास इकाई सं इकाई का नाम पृष्ठ संख्या खण्ड राजस्थानी भासा इकाई  राजस्थानी भासा री उत्पत्ति अर विकास  इकाई  राजस्थानी भासा री प्रमुख बोलियां उपबोलियां अर भौगोलिक क्षेत्र  इकाई  राजस्थानी भासा री व्याकरण री खास विसेसतावां  इकाई  राजस्थानी भासा रा खास छंद अर अलंकार  इकाई  प्रमुख भारतीय लिपियां  देवनागरी अर मुड़िया लिपि  खण्डग साहित्य रो इतिहास लेखन इकाई   राजस्थानी साहित्य रो इतिहास लेखन  प्रमुख विद्वान अर मत मतांतर  इकाई  राजस्थानी साहित्य रो आदिकाल अथवा वीरगाथा काल  इकाई  राजस्थानी साहित्य रो मध्यकाल  ख्यात साहित्य  इकाई  राजस्थानी साहित्य रो उत्तर मध्यकाल अथवा रीतिकाल  इकाई  राजस्थानी साहित्य रो आधुनिक काल  इकाई । आज री राजस्थानी कविता । इकाई । राजस्थानी भासा रो महिला लेखन  खण्डगा राजस्थानी लोक साहित्य इकाई  राजस्थानी भासा रो लोक सहित्य  परिभासा  इकाई  राजस्थानी भासा रो लोक साहित्य  प्रमुख विधावां  ७ वात कथा ० लोक गाथा ० लोकगीत ७ लोकनाट्य इकाई  राजस्थानी भासा रा कहावतां अर मुहावरा
RJmarwari.pdf,5,राजस्थानी भासा अर साहित्य रो इतिहास खण्डों इकाई  इण इकाई में राजस्थानी भासा री उत्पत्ति अर विकास री सार रूप में जाणकारी दी गई है। सगढ्की भारतीय भासावां री जननी संस्कृत है। संस्कृत सूं ही पालि प्राकृत अपभ्रंथ अर आज री भारतीय भासावां रो जलम हुयौ है। राजस्थानी भासा रो उद्भव अपभ्रंश भासा सूं विद्वानां मान्यो है। अपभ्रंश भासा में भी मरूगुजरी अपभ्रंश नागर अपभ्रंश मांय सूं किणी एक सूं राजस्थानी भासा रो जलम हुयौ है। इकाई   ईं इकाई में राजस्थानी भासा री प्रमुख बोलियां उपबोलियां अर वारां भौगोलिक खेतर री जाणकारी पाठकां नै कराई गई है। मारवाड़ी मेवाड़ी हाड़ौती ढूंढाड़ी मेवाती वागड़ी सेखावाटी माव्ठवी राजस्थानी भासा री खास बोलियां उपबोलियां है। आं सबां रो विसाछ भौगोलिक खेतर है। इकाई   राजस्थानी एक जुगांजूनी समुद्र और सुतंत्र भासा है। इणरो न्यारो व्याकरण लिपि सबदकोस बोलणवाव्ठ जन विसाछ भूभाग भरियोपूरो अर विध विध रो ग्रंथ भण्डार है। इकाई   राजस्थानी भासा काव्य रा खुद रा मोकव्ण छंद अर अलंकार है जिणा री जोड़ रा दुनियां री किणी दूजी भासा में कोनी। राजस्थानी छंदां में वरणिक अर मात्रिक दोनूं भांत रा छंदां री छटा देखी जा सकै। इकाई  भासावां रो आधार लिपियां हुया करै। दुनियां री जगव्डी भासावां री जकी लिखण री विधि है बो ही लिपि कहीजै। रोमन अंग्रेजी आदि विदेसी लिपियां जगचावी है। भारतीय लिपियां में ब्राह्मी खरोष्टी शारदा देवनागरी प्रमुख गिणीजै। मुड़िया लिपि में राजस्थानी भासा रो लिखित रूप सामी आयो है। मुड़िया देवनागरी सूं अलग है अर गुप्त लिपि कहीजै। इणनै महाजनी लिपि भी कयौ जावै । खण्डाा इकाई   ई में इकाई राजस्थानी साहित्य रा इतिहास लेखन बाबत मानीता विद्वानां रा जका मतमतांतर है  उणरी पूरी विगत मांडी गई है । राजस्थानी भासा का उद्भव सूं लैयर अजै लग अलगअलग काल खण्डां में अर भांतभांत री विधावां काव्य सैलियां अर वीरता भगती सिणगार अर नीति रो अपार साहित्य मित्हैउणरीं निरख परख ई ईकाई में हुई है। इकाई   राजस्थानी साहित्य रो आदिकाल खण्ड वीरगाथा काल भी कहीजै। ईं आदिकाल रा लेखन में यूं जो वीरगाथावां मोकठी लिखीजी पण भगती री सगुण अर निरगुण धारावां में भी घणा साहित्य रो सिरजण हुयौ है। इणी भांत नीति अर सिणगार सम्बंधी राजस्थानी साहित्य भी महताऊ है। लोक साहित्य रो सिरजण भी इण जुग में खूब हुयौं। रणमल्ल छंद बीसलदैव रासो खुमाणरासो जयचंद जस चंद्रिका जयचंद रासो इण समै रा नामी ग्रंथ है जिणां रै कारण ही ई कालखण्ड रो नामकरण वीरगाथा काल हुयौ है। ई इकाई में आदिकाल री पूरी विगत मंडी है। इकाई   ईई ईकाई में राजस्थानी साहित्य रा पूर्व मध्यकाल रो अध्ययन हुयौ है। ईं जुग नै भगतीकाल अथवा संत साहित्य काल रो नाम भी दियो गयौ है। भगती काल में सगुण भगत अर निरगुण संतां री लांबी परम्परा निगै आवै  भगती री आं दोनूं धारावां में अलेखूं रचनाकार अणपार साहित्य रच्यौ है जिणरै कारण ईं जुग नै राजस्थानी साहित्य रो स्वर्णयुग भी कयौ जावे है। मीरांबाई ओपाजी आढ़ा ईसरदास सम्मानबाई दादूदयाल जांभोजी रामस्नेही संतगण राणी रूंपादे सहजोबाई दयाबाई आद इणी जुग रा चावा रचनाकार है।
RJmarwari.pdf,6,इकाई   इण इकाई में उत्तर मध्यकाल अथवा रीतिकाल रा सम्रद्ध साहित्य अर प्रमुख रचनाकारां री जाणकारी दी गई है। राजस्थानी भासा में रीति काल में सिणगार री रचनावां भी लिखी गई पण साथ ही वीरता देसभगती लोकसंगलल लोक जागरण अर नीति परक रचनावां री भी कमी कोनी। राजिया रा सोरठा नीति काव्य री दीठ सूं महताऊ है। इणी भांत भानिया अर चकरिया रो नीति काव्य लोक काव्य रै रूप में जगचावो हुयौ  इण जुग में लोक साहित्य अर गद्य साहित्य रो सिरजण भी अणमाप हुयौ। इकाई  इण इकाई में राजस्थानी साहित्य रा आधुनिक काल खण्ड रा सिरजण री विगत विस्तार सूं मांडी गई है। सन्  सूं लै यर आज तक रो काल खण्ड आधुनिक काल कहीजै औ आधुनिक काल काव्य लेखन रै साथेै ही गद्य सिरजण रो जुग कहीजै । गद्य री नुंई विधावां रो जलम इण समै सै सूं ज्यादा हुयौ। उपन्यास कहाणी निबंध नाटक एकांकी रूपक डायरी लेखन रिपोरताज जिसी विधावां राजस्थानी साहित्य रा आधुनिक काल री ही देन है। इकाई ई इकाई में आज री राजस्थानी कविता री जातरा रो दरसाव है। आज री राजस्थानी कविता भाव री प्रधानता नै छोड चिंतन नै प्रधानता दी। भारत रा सुतंत्रता संग्राम री अलख जगाई अर राष्ट्रीय चेतना नै आगै बढाई प्रकृति री गोद छोड जथारथ अर प्रगतिवाद रा मंगछूगीत गाया आज री राजस्थानी कविता छंद अर अलंकार री जूनी लीक छोड़ नया प्रयोग करूया अर बदव्खाव रो चितराम मांड सामाजिक सरोकार निभायौ। इकाई ई ईकाई में राजस्थानी भासा रा महिला लेखन नै सामी राखर उणरी समीक्षा हुई है। अजै ताई ई लेखन री उपेक्षा हुई ही । राजस्थानी भासा में महिलावां गद्य अर पद्य री सगढ्ही विधावां में भाव अर विचार प्रधान साहित्य री सिरजण कर रही है। मुक्तक अर प्रबंध दोनूं रूपां में काव्य सामी आवैं। जूनी कथावां नै आज री कहाणी रो रूप मिलयौ अर जथारथवादी नव कहाणी रो लेखन गंभीरता सूं हूं रयौ है। खण्डवा इकाई आ इकाई राजस्थानी भासा रा लोक साहित्य री जाणकारी करावै। लोक साहित्य री परिभासा कांई है लोक साहित्य किण नै कैंवा  लोक साहित्य अर अभिजात्य साहित्य में कांई फरक हैं। आं सवालां रा जवाब ईं इकाई में दिया गया है जिणसूं राजस्थानी लोक साहित्य नै भलीभांत पाठक समझ सकै। लोक साहित्य आमजन री भासा में जन का लोक मानस नै बींका सोच हरख उयाव अर दुःखदरद नै सामी राखैईं खातर बो लोक सूं पूरी तरै जुड़यौडौ व्है। इकाई ई इकाई में राजस्थानी भासा रा लोक साहित्य री प्रमुख विधावां ज्यूं कथा गाथा लोकगीत लोकनाट्य कहावतां अर मुहावरां रा भण्डार री विगत मांडी गई है। राजस्थानी लोक साहित्य में हजारू लोक कथावां गाथांवां लोकगीत लोकनाट्य अर कहावतां मुहावरां है। ओ साहित्य कम छप्यौ है अर अपार अंण छप्यौ है। ओ सगक्ठो साहित्य छपूयां सूं ही राजस्थानी भासा री लोक सम्पदा री कूंत करी जा सकै। इकाई ईं इकाई में राजस्थानी लोक साहित्य री प्रमुख विद्या कहावतां अर मुहावरां री विस्तार सूं निरखपरख हुई है। कहातवां री जूनी परम्परा अर आज तक री विकास जग्तरा रो दरसाव हुयौ है। अतं प्रमुख कहावतां अर मुहावरां रा उदाहरण भी दिया गया है।
RJmarwari.pdf,7,॥ है।६   उद्देस्य प्रस्तावना  भासापरिवार परम्परा अर भारतीय आर्य भासावां री ओछ्खांण  राजस्थानी भासा रौ उद्भव अर विकास  राजस्थानी भासा री लिपि  भासाविग्यान री दीठ सूं राजस्थानी भासा री समीक्षा  इकाई रौ सार  अभ्यास सारू सवाल  सन्दर्भ पोथ्यां  ॥॥ इण इकाई रौ खास उद्देस्य   विद्यार्थियां नें राजस्थानी भासा रै उद्भव अर विकास री विगतवार जांणकारी करावणौ है।  १ बरसां रै गरबाजोग इतियास अर सिमरध साहित्यभण्डार री धणियाणी मायड़भासा राजस्थानी रै उद्भव सूं लेर विकास तांई री जातरा बाबत हुयौड़ा अध्ययन सूं विद्यार्थियां ने अवगत करावणौ है।  विद्यार्थियां री राजस्थानी भासा अर साहित्य रै अध्ययन सारू हूंस में अवस बधापो करावणौ है।  ॥ भासा विग्यानिकां री दीठ सूं राजस्थानी भासा सगढी कसौटियां माथे सौटंच खरी उतरण वाढ्गी भासा है। इण भासा कने  बरसां सूं बत्तौ लाम्बो भासाई अर साहित्यिक इतिहास है। अजै तांई री  नाममाछावां अर सबदकोस इणरै अखूट सबद सामरथ रौ परिचै करावै  प्रो नरोत्तमदास स्वामी पद्मश्री सीताराम लालस जैड़ा विद्वानां री व्याकरण बाबत रचियौड़ी पोथियां राजस्थानी री भासागत सुतंतरता सिद्ध करै। राजस्थानी भासा में अक सुतंतर भासा रा सगक्ा गुण मिल्ठै  आं गुणां रै पांण ई डॉ ग्रियर्सन अल पी टैस्सीटोरी डॉ धीरेन्द्र वर्मा डॉ नामवर सिंह प्रो नरोत्तमदास स्वामी डॉ सुनीति कुमार चटर्जी आद विद्वानां राजस्थानी भासा री गिणती घणी सिमरधवान भासावां में करी है।  ॥॥ ॥ ॥॥ ४ ॥॥।॥ ४।॥ ॥ ॥ ४   ॥॥ संसार री सगछी भासावां अठारै भासापरिवारां में बांटी जावै। भारतीय भासावां भारोपिया या के भारतीय आर्यभासा परिवार रै भेठी गिणी जावै। राजस्थानी भासा भारत रै राजस्थान प्रदेस री भासा है। भारतीय आर्यभासावां रै विकास ने तीन काल खण्डां में बांदयौ जा सकै  जूनौ भारतीय आर्यभासा काल  बरस ईसा पैलां सूं  बरस ईसा पैलां तांई  मध्यकालीन भारतीय आर्यभासावां  बरस ईसा पैलां सूं  ईसा तांई  आधुनिक भारतीय आर्यभासावां  ई सूं अजे तांई
RJmarwari.pdf,8,भारतीय आर्यभासावां में सैं सूं जूनी भासा वैदिक संस्क्रत है। भासासास्त्री मानै कै आदिपुरूस जिकी आर्य भासा बोलता उणसूं ई वैदिक संस्क्रत री उत्पति हुई  वैदिक संस्क्रत घणी चावी हुई पण जनसाधारण में संस्क्रत आपरै नेम्कायदां री दोराई रै कारण वैवारिक भासा नीं बण सकी  लोक में अक नुंई भासा रौ जलम हुयौ जिणरी नांव प्राक्रत भासा हो  होलैहौकै इण प्राक्रत सूं पालि अर मागधी बणी  पैली प्राक्रत में पालि अर अर्धमभागधी गिणी जावै जदकी दूजी प्राक्रत में सौरसैनी मागधी अर महारास्ट्री गिणीजै। बगत रै साथे इणा प्राक्रत भासावां में ई साहितसिरजण हुवण लाग्यौ अर ओ साहित्यिक भासावां बणगी। लोक भासा सूं अपभ्रंस भासा रौ जनम हुयौ  विक्रम री छठी सदी सूं लेयर दसवीं ग्यारहवीं सदी तांई देस रा न्यारान्यारा भागां में अपभ्रंस भासा रौ जोर रैयो पण भासा कदैई थिर नीं रैवै वा लगोलग बैंवती रैवै  अपभ्रंस जद व्याकरण रा करड़ा नेमकायदां में बंधगी तो लोक में इणरा मौकछा भेद पनप्या। प्राक्रत चंद्रिका में अपभ्रंस रा सताईस भेद गिणाईज्या है ब्राचड़ो लाटवैददर्यावुप नागर नागरौ। बार्बरावन््तय पांचाल टाक्क मालव कैकया  कालिंग्य प्राच्य कर्नाटकाअचंय द्रवाविड़ गोर्जरा  सप्तविशव्रूभ्रंशः वैतालादि प्रभेदत  इणी आर्य भासा विकासक्रम सूं राजस्थानी भासा रौ इतियास जुड़ियोड़ौ है।  ॥  ।॥ ॥ ॥॥ ४ ४  ॥ विक्रम री छठीसातवीं सदी सूं लेयर दसवीं इग्यारवीं सदी तांई देस में ऊपर गिणाईजी अपग्रंस भासावां रौ घणौ जोर रैयौ। राजस्थानी भासा रै चलण रौ जिकर पैलपोत मरूभासा नांव सूं जैन मुनि उद्योतन सूरी री रचना कुवलयमाछा में मिक्ठै  वि सं  में जालौर में रचियौड़ै इण ग्रंथ में उण बगत री चावी अठारै देसी भासावां रा नांव इण भांत दियौड़ा है अप्पातुप्पा भणिरे अहपेच्छठ मारूए तत्तो न उ रे भल्लउं भणिरे अह पेच्छई गुज्जरे अवरे अम्हं काडं तुम्हँ भणिरे अह पेच्छई लाडे भाइ य भरणी तुब्मे भणिरे अह मालवे दिट्ठे  राजस्थानी भासा उण जुग में मरूभासा नांव सूं लोकप्रचलित हुयौड़ी ही  राजस्थानी भासा री उत्पति किण अपभ्रंस सूं हुई है इण बाबत विद्वानां में अकराय नीं है। इण मुजब तीन मानतावां चावी है पैली राजस्थानी री उत्पति सौरसैनी अपभ्र॑ंस सूं दूजीमरूगुर्जर अपभ्रंस सूं अर तीजी राजस्थानी भासा री उत्पति नागर अपभ्र॑ंस सू मानी जावै। सौरसैनी अपगभ्र॑ंस सूं राजस्थानी भासा री उत्पति मानणिया दिद्वानां में डॉ अलपी टैस्सीटोरी रिचर्ड पिसल डॉ उदयनाराण तिवारी अर डॉ नामवर सिंह खास है। डॉ ग्रियर्सन मुजब राजस्थानी भासा नागरी अपग्रंस सूं विकसित हुई  मरूगुर्जरी कै गुर्जर अपभ्रंस सूं राजस्थानी भासा री उत्पति मानण वाछा विद्वानां में श्री केम एम मुंशी अन वी दिवेटिया मुनि जिनविजय डॉ हीरालाल माहेश्वरी आद खास है। आं सगढ्ी मानतावां नै दीठ में राखता थकां राजस्थानी भासा री उत्पति वाले अपभ्रंस री पड़ताछ करां तो मरूगुर्जरी या गुर्जर अपभ्रंस सूं राजस्थानी री उत्पति रौ मत घणौ सारथक लागै  उण बगत रो राजस्थान गुजरात अर मध्यप्रदेस ने गुर्जर देस नांव सूं जाणीजतौ। मरूगुर्जरी अर गुर्जर अपग्र॑ंस रै नांव सूं राजस्थानी
RJmarwari.pdf,9,भासा रै जूने बोलीखेतर बाबत सार्थक अनुमान ई हुवै। इणी गुर्जरी अपभ्रंस सूं राजस्थानी भासा रौ उद्भव अर विकास हुयौ। भारतीय आर्य भासा परंपरा अर राजस्थानी भासा रै उद्भव नैं इण तरै सावक समझयौ जा सकै राजस्थानी भासा रौ वंसद्रक्ष  आर्य भासावां वैदिक संस्क्रत ण्ण्ण्णणण्णणणि पालि संस्क्रत सौरसैनी प्राक्रत। मागधी प्राक्रत। महारास्ट्री प्राक्रत गुर्जरी अपभ्रंस सौरसैनी अपमभ्र॑ंस ॥ ।॥॥॥ ॥॥ राजस्थानी भासा रौ उद्भव हुयां पछे विक्रम री दसवीं सदी में आंवताआंवता बा विकसित रूप धारण कर लियौ। बारवीं सदी तांई पूगतांपूगतां राजस्थानी भासा अपभ्रंस रै प्रभाव सूं पूरी तरह मुगत होयने साहित्यिक भासा रै रूप में घणी चावी हुयगी।  ॥ ॥॥।  ॥॥ कं  राजस्थानी भासा री जूनी लिपि रौ नांव मुड़िया है। इणने मौडकी मुड़ियावटी महाजनी बणियावटी नांवां सूं ई जाणयौ जावै  डॉ मोतीलाल मेनारिया इण लिपि रौ परिचै देंवता थकां लिख्यौ है कै इण लिपि में लकीर मांडने घसीट रूप में लिख्यौ जावै अर इणमें मात्रावां नीं हुवे  आदिकाल अर मध्यकाल रै राजस्थानी साहित्य रै ग्रंथां में इण लिपि रौ प्रयोग देखण नै मिले  आधुनिक काल में राजस्थानी भासा दूजी कैई भारतीय भासावां रै ज्यूं देवनागरी लिपि अंगेज लीवी है अर सगकौ सिरजण इणी लिपि में हुवण लाग रैयौ है।  ॥   ॥॥  शा ॥॥॥॥ ॥ ॥ राजस्थानी भासासाहित्य री सिमरध परंपरा सूं सिद्ध हुवै कै राजस्थानी अक सुतंतर भासा है। कैई लोग इण भासा बाबत मौकढी भ्रांतियां मन में पाछ राखी है अर इणनै बोलियां रौ समूह मात्र मानै जको उणारै घणै अग्यान रौ सूचक है। किणी ई भासा नै सुतंतर भासा रो दरजो देवण सूं पैलां भासा विग्यान री कसौटियां माथे उणरी परख करी जावै। इण परख में छः तत्वां रै आधार माथे उण भासा री विसेसतावां ने औछूखीजै। ओ छः तत्व है।  भूभाग  जनसंख्यां  साहित्य भण्डार  व्याकरण  सबदकोस  लिपि राजस्थानी भासा रा मानीता विद्वान प्रो कल्याणसिंह शेखावत आं तत्वां रै आधार माथे कूंत करयां पछे राजस्थानी भासा ने अक सुतंतर भासा सिद्ध करी है। भासाविग्यान रै आं छः तत्वां रै आधार माथे राजस्थानी भासा री परख इण भांत है   ॥ ॥॥
RJmarwari.pdf,10,किणी ई प्रांत या कै देस री थरपणा सारू उणरौ भूभाग हुया करै। इणीज भांत भासा सारू ई उणरौ बोलीखेतर हुवणौ घणौ जरूरी मान्यौ जावै अर वा भासा किणी न किणी भूभाग सूं जुड़ियौड़ी हुवणी चाईजै। इण दीठ सूं राजस्थानी भासा ने देख्यौ जावै तो राजस्थानी भासा रौ बोलीखेतर या के भूभाग सगक्गौ राजस्थान अर उणरी सीमावां सूं लागता राज्यां हरियाणा पंजाब अर मध्यप्रदेस रै कैई जिलां तांई है। क्षेत्रफक री दीठ सूं राजस्थान भारत रौ सैं सूं बड़ौ राज्य है। बोलीखेतर अर विसाक भूभाग रै तत्व माथे परख करयां राजस्थानी भासा न्यारी भासा खरी उतरै।   ॥। ॥।  जिण भांत सूं जनता रै बिना किणी राज्य अर देस री बणगट संभव नीं है उणीज भांत जिण भासा नै लोग आपरे रोजीना रा वैवार कामकाज अर विचार प्रगट करणै में बरतै उण भासा ने भासाविग्यान जीवंत भासा रौ दरजो देवै। भासा ने बोलण वाढ्ठा लोगां री संख्या ई किणी भासा री विसाछता ने मापण वाठी कसौटी है। राजस्थानी भासा बोलण वाढ्ठा री दीठ सूं विसाव्वतम भासा है। राजस्थानी रा स्थायी रैवासी भारत भर में बसियौड़ा राजस्थानी अर विदेसां में रैवणियां राजस्थानी लोगां नै मिलायर दस करोड़ सूं बेसी लोग इण भासा ने आपरे रोजीना रा वैवार में बरतै। इण संख्या रै बोलण वाक्ाा री दीठ सूं राजस्थानी भासा भारतीय भासावां में आठवीं अर विस्व भासावां में सोछहवीं ठौड़ राखै    ॥४ ॥ ६ ॥॥  किणी ई भासा रौ भौतिक अर परतख रूप साहित्य सूं जाणयौ जावै। भासा री प्राचीनता सिमरधता अर परंपरा री औछखांण उण भासा रै साहित्यभण्डार रै पांण ई करी जा सके। राजस्थानी भासा रै साहित्यिक रूप रा ओनांण विकम रै नौवें सईके सूं ई मिलणा सरू हुय जावै। राजस्थानी भासा रा सरूआती दरसण सिलालेखां तांबापतरां ताड़पतरां अर भोजपतरां माथे छपियोड़ै रूप रै मारफत हुवै। राजस्थानी भासा रौ बारह सौ बरसां रौ इतिहास घणौ गरबजोग है। राजस्थानी भासा लोक अर लिखित साहित्य दोनूं कानीं सूं घणी सिमरध है। इणरौ लोक साहित्य सदियां सूं जनजन रै कठां रम्योड़ौ है तो दूजी कानीं लिखित साहित्य में साहित्य रा सगव्ण भाव प्रव्रतियां अर सैलियां रा लूंठा दरसाव देख्या जा सके। राजस्थानी भासा रै आदिकाल अर मध्यकाल री रचनावां में साहित्य रा सगढा रसां वीर सिणगार अर भगती री त्रिवेणी रा दरसण करयां जा सके  राजस्थानी भासा रौ साहित्य सिरजण बगत सूं हमेस पांवडा जोड् यां राख्या अर बगत परवांण आपरी सैली प्रव्रति आद में सिरजणगत बदव्ठाव ई करतौ रैयो है। राजस्थानी भासा री जूनी रचनावां में सूं फकत चाठीस हजार ग्रंथां नै ई छापणौ संभव हुयौ है अजेस दो लाख रै लगैटगै जूना ग्रंथ छपण री उडीक में है। ग्रंथां री इण संख्या सूं राजस्थानी भासा रै साहित्यभण्डार रो अंदाजौ लगायौ जा सकै। राजस्थानी भासा रै आधुनिक साहित्य में सगढी साहित्यिक विधावां में लूंठी सिरजण हुय रैयो है अर समकालीन भारतीय साहित्य में इणरी ठावी ठौड़ बणियौड़ी है। इण भांत राजस्थानी भासा साहित्य भण्डार री दीठ सूं घणी सिमरध है।   ४  व्याकरण रे बिना भासा नैं पांगछी गंवारू उज्जड़ अविकसित मान्यौ जावै अर उणनै भासा रै रूप में स्वीकार नीं करीजै। व्याकरण रै नेम कायदां रै आधार माथे ई साहित्यकार सिरजण करे  भारतीय भासावां रै व्याकरण माथे संस्क्रत रौ गैरो असर मिले क्यूंके सगढी भारतीय भासावां री उत्पति ई संस्क्रत सूं मानी जावै। राजस्थानी भासा रै व्याकरण माथे ई संस्क्रत रौ प्रभाव है पण फेर ई इणरी कीं न्यारी
