pdf_file,page,text
Rajasthani03.pdf,1,पिलानी राजस्थानी ग्रन्थमाला का प्रथम ग्रन्थ  राजस्थानी वाताँ  राजस्थानी भाषा में लिखित प्राचीन कहानियों का संग्रह  सम्पादक सूर्यकरण पारीक एम० ० वाइसप्रिसिपल बिड़लछा कालिज़ फ्लानी । अकमाककनाइकब्यपवनभमइवाअकाभननन्मनणक  श्री बिड़छा कालिज पिछानो के संरक्षण में प्रकाशित  प्रकाशक नतयुगसाहित्यमन्दिर पोस्ट बकस नं० उ८ दिल्ली । अन््कसत्भमाका मनन अधकरेननानवॉरनकनक १६३४
Rajasthani03.pdf,2,प्रकाशक  न हनन ओअआशग्फपट कम ल अिनजनणह ०० जद काट जए प्रत्टा॑।र बटर  ड़ र। गज व  पोस्ट बकस ७८ व्ल्ली सुद्क हिन्दुस्तान टाइस्स प्रेत दिल्ली
Rajasthani03.pdf,3,३ १ जी च  । १ की च  आह आह दी पट  का पड आए कि पा १४  पा फट   ४ प्रजा ड़ परिधि ााट १  हल जाजायआ ५ १भयान न ढ वब०त ८ म बुत  गा आन फजाआ१ ७००८ ०५४५ ॥ फट रे । रे समपंणा  ः । जिनको पूर्वराजपूतसंस्कृति और गौरव का यर्व है । जिनकी रुचि और प्रेरणा से ये कहानियाँ लिखी यई हैं  । जो युद्धवीरता दानवीरता प्रतिन्नावीरता सातंत्रथ रह ।   ग्रियता सत्यशीलता सहिष्णुता स्वावलंबन  ५ ग्रियता आदि गुणों से परिपूर्ण आदर्श  ४ राजपूतसम्यता के ग्रति निस््सीम श्रद्धा का भाव रखते हैं और जो वर्तमान काल में उन ओजस्वी गुणों को  भारतीय चरित्र यें समन्वित करने के इच्छुक हैं उच्च रु सात्विकशीछ उदारमना सोजन्यसागर दानवीर शाजस्थानरल्न श्री० सेठ घनश्यामदासजी बिड़ला की सेवा में तुच्छ भेंट समर्पित सूर्यकरण पारीक ।   ॒ श्र ४  ६ के हे  हे हल आर पु रद  इमेल ४ आए पा ण जरा एड धमिआग आग  ९४ व जज अभ आज जम हम हार आम दफा आगमन १० व ४३     हक अर   कक ४
Rajasthani03.pdf,4,क्रमसूची आअ्युन मुई बल प्छ २ जगदैव पवार ००० ५०० ०० १ ३ जगमाल मालावत  रे  ० ४ पीरमदे सोनगरा री वात ४ ४ न ४ कहवाट सरवहियो  बे ० १०४ है जषड़ा मुषड़ा भाटी री वात  १४२३ ७ जैतसी उदावत  दे  १६४ ८ पाबुजी रीबात ००० ०० १७६ ६ टिप्पणियाँ ००५ ०० ००० १६७
Rajasthani03.pdf,5,भूमिका राजस्थानी कहानियों का सम्पादन करने के लिए गतवर्ष मुके श्री० सेठ धनश्यामदासजी बिड़ला को ओर से प्रेरणा हुई थी । बद्यपि लगभग पिछले दश वर्षा से राजस्थानी के प्राचीन साहित्य का अलुशीलन करते रहने से मुझे यह धारणा अवश्य होरही थी कि निकट भविष्य में कभी इन कहानियों का आस्वादन पढठित जनता को कराने का अवसर मिलेगा परन्तु यह इच्छा इस रूप में इतनी शीघ्र कार्यान्वित हो सकेगी ऐसी मुझे आशा न थी । इसका श्रेय उदारमना श्री बिड़लाजी को ही है। श्री बिड़लाजी के सोजन्यपूर्ण हृदय में मेंने प्राचीन राजपूत सभ्यता के प्रति निस्सीम श्रद्धा ओर सच्चे उत्साह को पाया और यह जान कर आश्ातीत प्रसन्नता हुईं कि ऐसे २ डत्साही एवं लब्धप्रतिष्ठ महाजनों का ध्यान यदि भारतीय इतिहास ओर साहित्य के इस चिरउपेक्षित अंग की ओर प्रेरित होता रहा तो न केवल राजस्थानी ओर हिन्दी साहित्य का ही उपकार होगा वरन् भारतीय संस्कृति ओर सभ्यता का एक गौरबपूर्ण पक्ष जनता के समक्ष अपने उज्ज्वलरूप में शीघ्र ही उपस्थित किया जा सकेगा । छसंगठित ओर स्थायीरूप में राजस्थानी साहित्य के पुनरुद्वार प्रकाशन ओर संग्रह के लिए श्री बिड़ुलाजीने इसी वर्ष एक विशेष आयोजना स्थापित की है जिसको कार्यरूप में परिणत करने के लिए आपने पयप्ति धन प्रदान कर अपने साहित्यप्रेम ओर सात्विकशील डद्गारता का परिचय दिया है। इस आयोजना के अनुसार श्री बिड़ला कालिज पिलानी की अवधानता में पिलछानी राजस्थानी ग्रंथमाला प्रकाशित की जायगी । साथ ही घपुरानी हस्तलिखित पुस्तकें जो अप्राप्य
Rajasthani03.pdf,6,सत्र अथवा कष्टप्राप्य हैं अथवा कालान््तर में जिनके नष्ट हो जाने की संभावना हेऐसी पुस्तकें नकल्ल करवा कर कालिज के पुस्तकालय के हस्तलिखित विभारमें छरक्षित रखी जाँयगी । राजस्थान के ग्रामगीत कहानियाँ लोकोक्तियाँ दूंढ़े काव्य इत्यादि प्राचीन खाहित्यसामग्री के संग्रह का कार्य भी इसी आयोजना में सम्मिलित है । उपयुक्त पुस्तकमाला के अन्तर्गत राजस्थानी वाताँ यह पहलो पुस्तक है । इस वर्ष तीन पुस्तकें प्रकाशित करने को आयोजना की गई है। दूसरी पुस्तकराजस्थानी दूहासंग्रह ओर तीसरी राजस्थानी लोकोक्ति संग्रहभी लगभग तैयार हैं ओर इसके बाद यथाशीघ्र प्रकाशित की जाँयगी । जब से कर्नल टॉड ने बड़े परिश्रम ओर खोज के बाद राजस्थान का इतिहास लिखा है तब से लोगों का ध्याब राजस्थान के पूर्वगोरच की ओर विशेष रूप से आकर्षित होने लगा है । अपने इतिहास की भूमिका में टॉड साहब ने एक जगह लिखा है ०३ गई  ०६   ें४६   ६  १०७फ० ब्यूते ए  ०२ए ह॥ ॥ गर॑ ए पंप्रट० ते ६   राजस्थान के इतिहास के सम्बन्ध में टॉड के ये शब्द प्रायः लोकोक्ति की तरह प्रसिद्ध होगये हैं। परन्तु इन शब्दों की वास्तविकता की खोज बहुत कम लोगों ने अब तक की है। कुछेक गिने चुने विद्वानों को छोड़ कर राजस्थानी का क्षेत्र अब भी उतना ही अन्धकारमय है जितना कि टॉड के पूर्व था। परन्तु इस निराशान्धकार में आशा की नवज्योति प्रातकालीन डा को छवर्णलालिमा की तरह फूटकर निकलने लगी है। इसका पुक प्रमाण यह है कि राजस्थानवासियों के हृदय में पूर्वकालीन राजस्थान की प्रतिभा ओर गोरव की ओर अद्धा जागृत होरही है।
Rajasthani03.pdf,7,थ्  इस छोटीसी पुस्तक के प्राक्धन के रूप में राजस्थानी सभ्यतों और पूर्वसंसक्ृति पर लम्बा निबन््ध लिख डालना अयुक्तिसंगत होगा। प्रस्तुत कहानियों का संकलन करते ओर लिखते समय यदाकदा दो एक विशेष बातें हमारे ध्यान में आईं जिनका उल्लेख कर देना यहाँ अनुचित न होगा । सक्तेप में वे बातें ये हैं १ राजपूत सभ्यता ओर पूर्वसंस्कृति का एक प्रमुख रूप इन कहानियों ओर इसी प्रकार की अन्य असंख्य आख्यायिकाओं में देखने को मिलता है ॥ २ राजस्थान में कहानी कहने ओर लिखने की एक छपुष्ट ओर अद्वितीय कलात्मक झोली प्राचीन काल से प्रचलित रही है जो हिन्दी की अपेक्षाकृतु अर्वांचीनकालीन कहानीकला से सर्वथा भिन्नरूप है। ३ इन कहानियों में आंशिकरूप में प्रख्यात राजपूत कुलों का इतिहास रहता है। अतएुव ऐसी कहानियों की खोज करके प्रकाशन करने से न फेवल राजस्थानी ओर हिन्दी के मनोर॑जक साहित्य की श्रीवृद्धि होने की ही सम्भावना की जा सकती है वरन् बहुत सी इतिहाससामग्री भी हस्तगत हो सकती है। पहली बात पर विचार करने पर यह प्रश्न उपस्थित होता है कि क्या वास्तव में राजपूत सभ्यता ओर संस्कृति का कोई अपना निजी रूप ओर अस्तित्व है जिसकी खोज करने से भारतीय इतिहास ओर सहित्य को लाभ पहुँच सके । यह एक जटिल प्रश्न है जिसका राजस्थानी साहित्य ओर इतिहास की वर्त्तमान तिमिराच्छन्न दुशा में उत्तर देना न तो पूर्णतया संभव ही है और यदि आंशिक रूप में दिया भी जाय तो लोग उसके तथ्य को स्वीकार करने को तैयार न होंगे। हाँ इस समय इतना कह देना पयप्ति होगा कि राजस्थानी जीवनचर्यां विशिष्ट व्यवहार सामाजिक उत्तरदायित्व ओर व्यक्तिगत सेद्धान्तिकता में बहुत
Rajasthani03.pdf,8,थे  सो ऐसी विलक्षणताएँ अवश्य मिलेंगी जो ओर देशों ओर जातियों में इतने प्रमुख रूप में नहीं मिलती । राजस्थान देश ओर उसमें बसने वाली राजपूत जाति के नाम के पय्ययि से राजस्थानी ओर राजपूती विशेषताएँ लगभग एक ही समझी जाती रही हैं । चर्णाश्रमविभाग के साधारण भेदों को छोड़ कर देखा जाय तो राजपूत क्षत्रिय ओर इतर राजस्थानी वर्णा के जीवननिर्वाह में लगभग समानता ही है। परन्तु तो भी राजपूत नामोच्चारण से राजपूत क्षत्रिय ही का बोध होता है। इस संकलन में संग्रहोत कहानियों में क्षत्रिय वीरों के चरिन्नों का ही दिग्दर्शन हुआ है। परन्तु इससे यह नहीं समझना चाहिये कि इतर व्णो में आदर्श वीर आदर्श दानी देशभक्त ओर घार्मिक महापुरुष नहीं हुए हैं  इन कहानियों में प्रदर्शित राजपूत चरित्र के कुछएुक प्रसुख गुणोंका संकलन हम नीचे कर देते हैं जिससे उनकी संस्कृति ओर विशेषता का कुछ अन्दाजा लगाया जा सके । १ सबसे पहली विशेषता जो राजपूत के चरित्र में देखी जाती है वह है उसकी सन कर्म ओर बचन से इढ़प्रतिज्ञता  प्रतिज्ञापालन से विस्रुल होना राजपूत अपनी कायरता समझता है अतएव प्राण देकर भी प्रतिज्ञा का पालन करता है। इन कहानियों में आये हुए प्रायः सभी वीर हृढ़प्रतिज्ञ है । २ राजपूत का जीवनसिद्धान्त सत्य में बद्धमूल होता है अतणएुव वह हढ़ ओर अटल होता है। जहाँ सत्य और नीति में संघर्ष पेदा होजाता है वहाँ राजपूत्त संस्कार की विशेषता इसी बात में प्रकट होती है कि चह सत्य पर हृढ़ रहता है चाहे ऐसा करने में उसे सांसारिक दृष्टि से कितनी ही क्षति डठाना पड़े । यही कारण है कि वहुधा आत्सप्रतिष्ठा ओर प्रतिज्ञा का धनी एक ही क्षत्रिय बोर नीति के सर्वथा विरुद्ध बड़े से बढ़े साम्राज्य के बल का सामना करने के लिए अड जाता है। वह
Rajasthani03.pdf,9,हा  अलोकिक वौरता अवश्य दिखला जाता दे परन्तु आधुनिक सभ्यता के नीतिज्ञ उस धूम्रकेतु की सो चमत्कारिणी परन्तु क्षणस्थायो वोरता को मूर्खता अथवा अपरिणामदर्शी दुस््साहस ही कहेंगे। राजपूत वीर पिस जाता है अपने अस्तित्वको मिठ्रदेता हैपरन्तु अपने संद्धान्तिक सत्य की जीते जी रक्षा करने की भरसक चेष्टा करता है। यह एक विलक्षणता उसके चस्त्रि में पाई जाती है जो संसार की वहुत कम शूरबीर जातियों में मिलती है । ३ कथेर छिष्टताओं से घिरे हुए स्वावलंबनपूर्ण जीवन से राजपूत को विशेष प्रोति होती है क्योंकि यह गुणउसे अपनी प्राणों से प्रिय स्वा घीनता की रक्षा करने के लिए आवश्यक प्रतीत होता है  हुगल साम्राज्य के स्थापित होने से पहले के राजस्थानी इतिहास पर दृष्टि डाली जाय तो इस बात के असंख्य उदाहरण मि०गे कि किस प्रकार स्वाधीनताप्रिय इस जाति ने उत्तरी ओर मध्यभारत को उर्वरा भूमि को छोड़कर जलहीन मरुस्थल में स्वाधीनतापूर्वक अपने छोटे २ राज्य स्थापित किये थे । बीरमदे सोनएए सदाराया एचप एायाद थीगों के आख्यान इसी स्वा तंत्यप्रियता के उत्कृष्ट उदाहरण हैं। सलमान नी ला ४। इसके अतिरिक्त पहाड़ के समान अचल संयमशीलता सहिष्णता ओर अटल पघैर््य अनुपम निर्भीकता बरप्रतिशोध की तीघ्र भावना आत्मगोरव को अविरत रक्षा प्रणतपालन का विरद् दानवीरता ओर आदुश श्रवीरता के अनेक ऐसे गुण हैं जो राजपूत चरित्र के विशेष लक्षण कह्टे जा सकते हैं और जो किसी न किसी रूप में इन कहानियों में व्यक्त हुए हैं । इन सब में भी आदर्श ख्याति प्राप्त करने की कामना की ओर राजपूत की सारी शक्तियों का कुकाब अधिक देखा जाता है। अमर कीर्सि प्राप्त करने की लालसा ने न जाने कितने अवसरों पर राजपूतों के हाथ से
Rajasthani03.pdf,10,चर   ऐसे कार्य करवा दिये हैं जिनकी ऐडिक सम्भावया पर विश्वास करना कठिन हो जाता है। राजपूत में ल्पर्धा का गुण भी विशेष मात्रा में होता है। मेवाड़ के इतिहास में शक्तावतों ओर चंडावतों का शरबीरता का आदर्श स्थापित करने की दोड़ में पहले नम्बर आने की चेष्टा करना एक ही वृत्तान्त नहीं है बरन् हजारों ऐसे प्रमाणों से राजस्थान का इतिहास भरा पड़ा हैं। राजपूत आदर्शत्याग करने में अपनी बराबरी नहीं रखता । नि न मप्र नवीन मेवाड़ के भीष्म राव चूँड़ाजी कुंवर भीमसिह राठोड वीर दुर्गादास ये तो कुछ एक प्रातः स्मणीय नाम हैं। सारांश राजपूत वीरता को भल्ले ही कोई साम्नाज्यवादी नीतिज्ञ दुस्साहस अथवा शक्ति का अपव्यय कहकर पुकारे परन्तु संसार का मस्तक तो श्रद्धा की भावना से सदा ऐसे ही वीरों की र्छति में फुकता रहा है ओर रहेगा । आजीवन युद्ध करने के लिए हृदय में अदमनीय लालसा रखना सिर कट जाने पर घंटों युद्ध करते जाना निशश्र होकर शेरों से मह॒युद्ध करना ओर आत्मगौरव की भावना से प्रेरित होकर अपने हाथ से अपना मस्तक काट कर देना असम्भव कपोलकल्पनाएँ नहीं वरन् वाल्तविक ऐतिहासिक तथ्य हैं जिनका कर दिखाना संसार भर में यदि किसी जाति के लिए संभव है तो वह है राजपूत जाति । इन उग्र ओर ओजस्बी गुणों के साथ ही राजपूत चरित्र को पर्णता का चोतक एक कोमल ओर स्विग्ध भाग भी है जिसमें स्वर्गीय सौन्दर्य की कलक देखने को मिलती है। यही रणभटद्द राजपत उत्कृष्ट प्रेमी शाल्तिप्रिय उत्तम शासक ओर उच्चातिदत्व कोटिका विद्वान जोर कवि सी होता देखा गया है। महाराणा अमर्रा सह महाराणा राजसिंह महाराजा जसवन्तसिह्द सवाई जयसिह राहोद महाराज प्रृध्वीराजये कुद्ध डदाहरण हैं
